Coord_X,Coord_Y,Flight
167542.2,500201,20141029.04
167542.3,500201,20141029.04
167542.4,500201,20141029.04
167542.5,500201,20141029.04
167542.6,500201,20141029.04
167542.7,500201,20141029.04
167542.8,500201,20141029.04
167542.9,500201,20141029.04
167543.0,500201,20141029.04
167543.1,500201,20141029.04
167543.2,500201,20141029.04
167543.3,500201,20141029.04
167543.4,500201,20141029.04
167543.5,500201,20141029.04
167543.6,500201,20141029.04
167543.7,500201,20141029.04
167543.8,500201,20141029.04
167543.9,500201,20141029.04
167544.0,500201,20141029.04
167544.1,500201,20141029.04
167544.2,500201,20141029.04
167544.3,500201,20141029.04
167544.4,500201,20141029.04
167544.5,500201,20141029.04
167544.6,500201,20141029.04
167544.7,500201,20141029.04
167544.8,500201,20141029.04
167544.9,500201,20141029.04
167545.0,500201,20141029.04
167545.1,500201,20141029.04
167545.2,500201,20141029.04
167545.3,500201,20141029.04
167545.4,500201,20141029.04
167545.5,500201,20141029.04
167545.6,500201,20141029.04
167545.7,500201,20141029.04
167545.8,500201,20141029.04
167545.9,500201,20141029.04
167546.0,500201,20141029.04
167546.1,500201,20141029.04
167546.2,500201,20141029.04
167546.3,500201,20141029.04
167546.4,500201,20141029.04
167546.5,500201,20141029.04
167546.6,500201,20141029.04
167546.7,500201,20141029.04
167546.8,500201,20141029.04
167546.9,500201,20141029.04
167547.0,500201,20141029.04
167547.1,500201,20141029.04
167547.2,500201,20141029.04
167547.3,500201,20141029.04
167547.4,500201,20141029.04
167547.5,500201,20141029.04
167547.6,500201,20141029.04
167547.7,500201,20141029.04
167547.8,500201,20141029.04
167547.9,500201,20141029.04
167548.0,500201,20141029.04
167548.1,500201,20141029.04
167548.2,500201,20141029.04
167548.3,500201,20141029.04
167548.4,500201,20141029.04
167548.5,500201,20141029.04
167548.6,500201,20141029.04
167548.7,500201,20141029.04
167548.8,500201,20141029.04
167548.9,500201,20141029.04
167549.0,500201,20141029.04
167549.1,500201,20141029.04
167549.2,500201,20141029.04
167549.3,500201,20141029.04
167549.4,500201,20141029.04
167549.5,500201,20141029.04
167549.6,500201,20141029.04
167549.7,500201,20141029.04
167549.8,500201,20141029.04
167549.9,500201,20141029.04
167550.0,500201,20141029.04
167550.1,500201,20141029.04
167550.2,500201,20141029.04
167550.3,500201,20141029.04
167550.4,500201,20141029.04
167550.5,500201,20141029.04
167550.6,500201,20141029.04
167550.7,500201,20141029.04
167550.8,500201,20141029.04
167550.9,500201,20141029.04
167551.0,500201,20141029.04
167551.1,500201,20141029.04
167551.2,500201,20141029.04
167551.3,500201,20141029.04
167551.4,500201,20141029.04
167551.5,500201,20141029.04
167551.6,500201,20141029.04
167551.7,500201,20141029.04
167551.8,500201,20141029.04
167551.9,500201,20141029.04
167552.0,500201,20141029.04
167552.1,500201,20141029.04
